ABN,Name,Main activity,Charity size,Full time staff,Part time staff,Volunteers
11115147659,Church Of The Nazarene Inala Inc,Religious activities,Small,0,0,15
11115225986,Cultural Infusion Foundation Ltd,Social services,Small,6,0,10
11116159701,Uniting Church Australia - Jannali,,Small,1,0,1
11116169647,Access Aid International Ltd.,Emergency and relief,Small,0,0,30
11116314562,Aboriginal & Torres Strait Islander Legal Service (Qld) Ltd,Law and legal services,Large,180,7,0
11117886432,Hope Foundation Limited,Social services,Medium,0,3,20
11123738223,Christian Surfers International,Religious activities,Medium,2,2,20
11124211565,Youth Futures Ltd,Housing activities,Large,19,7,20
11126868586,The Royal Societies Of Australia,Higher education,Small,0,0,6
11127864935,The Baptist Union Of Queensland - Cooktown,Religious activities,Small,0,0,4
11128866419,Australian Community Philanthropy Ltd,Civic and advocacy activities,Small,0,0,6
11129013305,Nafsika Stamoulis Hellenic Museum Limited,Other activity,Large,2,1,0
11129790467,Doxa Community Club Incorporated,Other recreation and social club activity,Large,18,18,0
11130433288,Hands On Learning Australia,Primary and secondary education,Large,1,7,2
11131047268,MAS National Limited,Employment and training,Large,17,0,0
11131264926,St Stephens Anglican Church Greythorn,Religious activities,Small,1,0,0
11132125120,Kalamunda Church Of Christ Incorporated,Religious activities,Medium,3,4,50
11134856132,Riverland Support Group For The Disabled Inc,Other recreation and social club activity,Small,0,0,15
11137037677,Financial Basics Community Foundation Limited,Other education,Small,0,1,0
11139996651,World Maitreya Karuna Foundation Australia (Wmkfa),"Economic, social and community development",Small,0,0,0
11140054468,VETEA FOUNDATION LIMITED,Employment and training,Small,5,250,0
11140735862,Anba Abraam Association Incorporated,"Economic, social and community development",Small,0,0,9
11141476364,Bundoora Extended Care Centre Preston Auxiliary,Hospital services and rehabilitation activities,Small,0,0,8
11141704449,Chill Foundation Limited,Sports,Small,0,0,3
11141727577,Short Black Opera Company Pty Ltd,Culture and arts,Medium,0,5,0
11142051054,S4 Global Church Limited,Religious activities,Small,1,0,6
11142285716,Biripi Aboriginal Corporation Medical Centre,Other health service delivery,Large,57,20,20
11144901093,Play For Life Ltd,Primary and secondary education,Medium,3,0,2
11146359104,Plumbing Industry Climate Action Centre (Picac) Ltd,,Large,5,1,30
11146804668,Carbon Market Institute Limited,Environmental activities,Medium,3,1,2
11147897218,Victoria State Emergency Service Broadmeadows Unit,Emergency and relief,Small,0,0,39
11149226568,Our Big Kitchen Ltd,Other activity,Medium,5,3,15
11150693851,Australians For Australia Limited,,Small,0,0,11
11151440423,The Trustee For Pinnacle Charitable Foundation,Grant-making activities,Medium,1,0,10
11154257851,Outer Urban Projects Limited,"Economic, social and community development",Medium,1,3,6
11154806658,Orthopaedic Research Institute Of Queensland Limited,Research,Medium,1,2,6
11157291960,EverAbility Group Limited,Other health service delivery,Large,61,69,200
11157982091,The Corporation Of The Synod Of The Diocese Of Brisbane,Religious activities,Small,0,1,20
11162207169,Spinal Research Institute Limited,Research,Medium,2,5,0
11163101750,Fellowship Of Aust Writers West Aust Section (Inc),Culture and arts,Small,0,1,5
11164088448,Walk Of Life Training Inc.,,Small,0,0,4
11164536378,Quantum Ministries Limited,Religious activities,Small,0,2,1
11165171840,Baptist Church Altona,Religious activities,Small,1,2,60
11165256436,The Legacy Foundation Of Victoria Inc,,Small,0,0,14
11165869061,Mallacoota RSL Sub-Branch Patriotic Fund,,SMALL,0,0,0
11166136776,Mandurah Surf Lifesaving Club (Inc),Emergency and relief,Small,0,0,42
11167192752,Olivia Newton-John Cancer Research Institute,Other activity,Large,0,0,3
11167824034,Gympie Central School P C Association,Primary and secondary education,Small,0,0,12
11168785801,Agnes Water State School P & C Association,Other education,Small,0,1,8
11170013113,Frankston Christian Community Centre Inc,Religious activities,Medium,1,3,15
11176150693,St Johns Lutheran Church Milguy,,Small,0,0,0
11177837248,Shoalhaven Country Line Dancers Inc,,Small,1,0,7
11179849169,Tinbeerwah Rural Fire Brigade,Other activity,Small,0,0,35453
11184347887,Bakers Hill Primary School Parents And Citizens Association,,Small,0,0,9
11187385172,Scaddan Primary School Parents & Citizens' Association Incorporated,Primary and secondary education,Small,0,0,8
11188231822,Kambalda Volunteer Fire Brigade,Emergency and relief,Small,0,0,16
11189492560,St Ambrose Anglican Parish - Gilgandra,Religious activities,Small,1,1,9
11192522543,St Christophers Anglican Church East Bentleigh,Religious activities,Small,0,0,0
11198025596,Gateway Education Centre Incorporated,,Small,0,0,15
11199275853,University Of Southern Queensland Student Guild,Other recreation and social club activity,Medium,13,73,0
11209481513,St Andrew's Anglican Church Wahroonga,Religious activities,Medium,2,1,50
11210172815,Hanmaum Korean Presbyterian Church Inc,Religious activities,Small,2,0,25
11210566437,Hampton Baptist Community Church,Religious activities,Small,0,1,4
11213238190,Association Of The Franciscan Ofm Slovene Mission,,Small,1,0,92
11214967027,St Gabriels School For Hearing Impaired Children,Primary and secondary education,Large,22,0,0
11216142170,UCA - Unitingcare St Matthews Preschool,Other education,Medium,2,18,12
11216371524,Intellectual Disability Rights Service Inc,Law and legal services,Large,10,10,50
11216875673,The Compassionate Friends ACT And Queanbeyan Incorporated,Social services,Small,0,0,12
11226221388,Crescent Head Community Hall Committee,,Small,0,0,3
11227328793,The Trustee For Documentary Australia Foundation,Culture and arts,Large,0,4,1
11228305254,The Corporation Of The Diocesan Synod Of North Queensland,Religious activities,small,0,0,3
11229540191,Maroochydore Surf Lifesaving Club Inc,Emergency and relief,Large,4,1,927
11233136100,Deloraine House Inc,"Economic, social and community development",Small,0,4,25
11236149710,Belfield RSL sub-Branch (RSL NSW),,Large,0,0,11
11236340422,St Johns Evangelical Lutheran Church Burra,,Small,0,0,12
11237942413,St Mary's Parish School Inglewood,Primary and secondary education,Medium,3,5,4
11238399814,Hawthorn Community Education Centre Inc,Aged care activities,Medium,1,14,38
11239506139,Moreland Community Legal Centre Inc,Law and legal services,Medium,3,1,41
11240170997,Riding For The Disabled Association (NSW) The Moss Vale Centre,Other activity,Small,0,0,25
11244559772,Combined Pensioners & Superannuants Association Of NSW Incorporated,Civic and advocacy activities,Large,4,16,55
11245451863,Emmanuel Christian Community School Emmanuel Parents Group,Primary and secondary education,Small,0,0,20
11246123715,C A Camps Trust,Other education,Medium,4,13,10
11246181560,Bletchington Public School Parents and Citizens Association,Primary and secondary education,Small,0,0,20
11248418710,Bonnet Bay P&C Association,Primary and secondary education,Small,0,0,50
11248791547,Beenleigh Community Pre-Schooling Centre Inc,Other education,Medium,0,8,15
11252634894,Inglewood-Bridgewater RSL Sub-Branch Patriotic Fund,,SMALL,0,0,0
11254431269,Blayney Volunteer Meals On Wheels Assocociation Incorporated,Aged care activities,Small,0,1,40
11259653598,The Cyrene Centre,Other activity,Small,0,2,35
11259697010,Victoria State Emergency Service Leongatha Unit,Emergency and relief,Small,0,0,35
11261294621,Box Hill Community Information and Support Inc,Emergency and relief,Small,0,0,38
11262640922,The Corporation of the Synod of the Diocese of Brisbane - St Luke's Anglican School,,Large,0,1,30
11263154159,The Corporation Of The Synod Of The Diocese Of Brisbane,Religious activities,Small,1,0,60
11267572742,Presbyterian Church Of Australia Inthe State Of New South Wales Parishguya Wandsworth,,Small,0,1,20
11274192974,University Of Melbourne Graduate Student Association Inc,Other education,Large,6,6,0
11274679098,Uni Camp For Kids Incorporated,"Economic, social and community development",Medium,0,0,265
11274684817,Uca - Sherwood,Religious activities,Small,1,1,20
11276993085,Newhope Baptist Pre-School Inc,Other education,Medium,0,8,40
11277507106,Chinese Presbyterian Church Incorporated,Religious activities,Small,0,0,14
11278363724,The Trustee For Estate Of Cecilia Button,Other health service delivery,Small,0,0,0
11278929115,Balga Senior High School Child Care Centre (Inc),Other education,Medium,1,8,12
11279735826,Korean Central Presbyterian Church Incorporated,Religious activities,Large,5,3,2
11283689792,The Uniting Church Ministers Benevolent Fund,Religious activities,Small,0,0,6
11285126970,The Trustee For Russell Mckimmin Charitable Trust,Grant-making activities,Small,0,0,0
11286533983,Corrigin Church Of Christ Inc,Religious activities,Small,0,0,5
11289703125,Yorke Youth Services Inc,Other education,Medium,2,3,1
11291711287,Grafton South Congregation of Jehovah's Witnesses,Religious activities,Small,0,0,117
11293508607,Melbourne Tram Museum Inc.,Culture and arts,Small,0,0,15
11296752873,St Kilda Mums,Emergency and relief,Large,0,0,350
11299736811,The Roman Catholic Archbishop Of Perth-Beaconsfield Parish,Religious activities,Small,1,1,56
11300386527,St Vincent De Paul Society (NT) Inc,Social services,Large,26,12,300
11300672506,Nagambie Rsl Sub-Branch,,Small,0,0,5
11300954672,SJD Foundation Ballarat Inc,"Economic, social and community development",Small,0,0,3
11301450257,Wide Bay Women's Health Centre Inc.,Other health service delivery,Medium,0,7,3
11301552846,Victoria's Heritage Restoration Fund Inc,Grant-making activities,Small,0,2,0
11302872347,Indonesian Christian Family Church,Religious activities,Small,0,0,15
11303610911,Eschol Park Public School P&C Association,Other education,Small,0,0,7
11304683810,Hamer-Tribe Trust,,Small,0,0,4
11307521909,Goomalling Mens Shed And Prostate Group Incorporated,Other recreation and social club activity,Small,0,0,14
11308202509,Sandy Bay Senior Citizens Club Inc,Other recreation and social club activity,Small,0,0,5
11311421406,The Trustee For The Thomas Memorial Fund,Grant-making activities,Small,0,0,0
11311764284,Blacktown Church Of Christ,Religious activities,Small,0,0,30
11317538056,St Anthony's Catholic School,Other education,Large,0,0,0
11320043645,South East Community Legal Service Inc,Law and legal services,Medium,4,1,14
11321984065,ACPT - Belmore with McCallums Hill & Clemton Park,Religious activities,Small,0,0,11
11322130448,All Saints Catholic School Parents & Friends Assoc,Other education,Small,0,0,7
11325724500,Vivian Genevieve Weaver Library Fund Trust,Other activity,Small,0,0,0
11326005224,Mental Health Association NSW Ltd,Other activity,Large,7,8,4
11328366859,The Gwen & Edna Jones Foundation,Grant-making activities,Large,0,0,0
11329228089,Moranbah High P&C Association,Primary and secondary education,Small,1,12,5
11330868226,Christ Lutheran Church Wudinna,,Small,0,0,10
11332089079,Pilgrims Of Zion Evangelical Lutheran Church Bookpurnong Inc,,Small,0,0,22
11338057025,The Trustee For Edwards Foundation,Other activity,Small,0,0,0
11338237039,Leading From Within (Greater Shepparton),Social services,Small,0,2,14
11339249064,Walgett Local Aboriginal Land Council,Housing activities,Medium,1,0,10
11339370677,Uca - Winchelsea,Religious activities,Small,0,1,8
11340160573,The Trustee For The Dairy Goat Society Of Australia Research Foundation,Research,Small,0,0,3
11342769356,Dalrymple Heights Rural Firebrigade,Other activity,Small,0,0,35453
11342844238,Harrietville Television Committee Inc,Other activity,Small,0,1,5
11345673368,The Goldfields Indigenous Housing Organ Inc.,Housing activities,Large,8,12,0
11346132066,Kashrus Australasia Incorporated,Religious activities,Small,0,2,2
11346174035,Ecumenical Social Justice Group / Western Suburbs Inc,,Small,0,0,20
11349709415,Riding For The Disabled Association Of Western Australia Peel Group Incorporated,Sports,Small,0,5,65
11353025959,Tungamah & District Pre-School Inc,,Small,0,4,0
11358382701,Melaleuca Home For The Aged Inc,Aged care activities,Large,1,62,7
11363048522,The Trustee For The RAS of NSW Education Fund,Higher education,Medium,1,1,10
11365315258,Community Information & Support Victoria Inc,,Large,0,5,12
11367639008,Crystal Brook District Retirement Village Association Inc,Housing activities,Small,0,0,9
11370077815,Toowong Mandarin Congregation of Jehovah's Witnesses,Religious activities,Small,0,0,52
11370084009,Immanuel Lutheran School Gawler Association Incorporated,Primary and secondary education,Large,22,20,0
11370292497,Oakleigh Church of Christ,,Small,0,2,1
11374523786,The Henry Doubleday Research Association Of Australia Inc.,Environmental activities,Small,0,0,100
11374693055,Diabetes Association Of The Nt Inc,Other health service delivery,Large,21,7,16
11376089527,Maida Vale Baptist Community Service Inc.,Aged care activities,Small,0,0,6
11387942042,Gundoo Aboriginal Corporation,Other education,Large,15,5,5
11389597881,South Melbourne Life Saving Club Inc,,Small,0,0,50
11390131121,Mustard Leadership Australia Inc,Religious activities,Small,3,3,120
11391123964,The Roman Catholic Archbishop Of Perth Willetton Catholic Parish,Religious activities,Medium,0,0,120
11391301149,Greek Orthooox Archdiocese Ofaustralia Parish Of Coburg And Pascoevale,,Medium,0,0,20
11393286556,The Trustee For Rotary International District 9455 Youth Exchange Scholarship Trust Fund,International activities,Small,0,0,3
11397137539,Animal Welfare League Of South Australia Inc,Animal protection,Large,20,53,250
11397753037,Belair Uniting Church,Religious activities,Small,0,1,0
11400162559,Sydney Assembly Hall of Jehovah's Witnesses,Religious activities,Small,0,0,200
11400479679,School Of Distance Education P&C Bourke,Other recreation and social club activity,Small,0,0,12
11400505189,South Eastern Nursing & Home Care Assn Inc,Aged care activities,Large,3,93,30
11401466956,Catholic Parish Of St Benedict Broadway,Religious activities,Small,0,1,50
11403204077,Ballymore Kindergarten & Preschool Association Inc,Other education,Medium,1,3,0
11403509906,St Marys Catholic Church,Religious activities,Small,0,1,50
11404462191,Hope Christian Church Melbourne Inc,Religious activities,Medium,3,1,80
11408704415,Uca - Canowindra,,Small,0,0,65
11408712272,Thirlmere Public School Parents And Citizens Association,,Small,0,0,0
11410653750,Uca - Barkly Street,Religious activities,Small,0,1,12
11411225987,Montmorency Community Church,,Small,1,1,50
11411628568,Uca - Southern Gold Coast,Religious activities,Small,1,0,225
